,top10_gross,year,week_no,weekend
2712,1554475.0,1977,21,1977_May_w4
2709,16358821.0,1977,24,1977_Jun_w3
2708,4885463.0,1977,25,1977_Jun_w4
2707,7452980.0,1977,26,1977_Jun_w5
2705,6197462.0,1977,27,1977_Jul_w1
2704,6806951.0,1977,28,1977_Jul_w2
2703,7000644.0,1977,29,1977_Jul_w3
2702,6234376.0,1977,30,1977_Jul_w4
2701,7195573.0,1977,31,1977_Aug_w1
2700,6705755.0,1977,32,1977_Aug_w2
2699,5908751.0,1977,33,1977_Aug_w3
2698,5239535.0,1977,34,1977_Aug_w4
2697,7737847.0,1977,35,1977_Aug_w5
2694,2040920.0,1977,40,1977_Oct_w1
2691,4431635.0,1977,42,1977_Oct_w3
2690,3292879.0,1977,43,1977_Oct_w4
2689,2626914.0,1977,44,1977_Oct_w5
2688,2269052.0,1977,45,1977_Nov_w1
2687,1949157.0,1977,46,1977_Nov_w2
2686,2472656.0,1977,47,1977_Nov_w3
2685,1595568.0,1977,48,1977_Nov_w4
2684,1152953.0,1977,49,1977_Dec_w1
2683,10102221.0,1977,50,1977_Dec_w2
2681,5564559.0,1977,51,1977_Dec_w3
393,2671060.0,1978,1,1978_Jan_w1
392,817290.0,1978,5,1978_Feb_w1
389,622291.0,1978,10,1978_Mar_w2
388,543897.0,1978,13,1978_Mar_w5
387,790452.0,1978,14,1978_Apr_w1
386,602039.0,1978,15,1978_Apr_w2
384,3880880.0,1978,23,1978_Jun_w2
383,18807740.0,1978,24,1978_Jun_w3
380,3652486.0,1978,26,1978_Jun_w5
378,10166336.0,1978,29,1978_Jul_w3
377,276538.0,1978,30,1978_Jul_w4
372,626649.0,1978,46,1978_Nov_w2
370,7465343.0,1978,50,1978_Dec_w2
368,16808078.0,1978,51,1978_Dec_w3
369,1652926.0,1978,51,1978_Dec_w3
367,10363384.0,1978,52,1978_Dec_w4
440,391942.0,1979,5,1979_Feb_w1
439,3529675.0,1979,6,1979_Feb_w2
435,262778.0,1979,9,1979_Mar_w1
434,70461.0,1979,10,1979_Mar_w2
433,21040.0,1979,11,1979_Mar_w3
432,18709.0,1979,13,1979_Mar_w5
431,1972684.0,1979,14,1979_Apr_w1
429,485734.0,1979,17,1979_Apr_w4
428,376896.0,1979,18,1979_May_w1
425,5953196.0,1979,21,1979_May_w4
424,2192024.0,1979,22,1979_Jun_w1
423,2669177.0,1979,23,1979_Jun_w2
