,weekend,top10_gross,tomatometer_rating
0,1977_Aug_w1,7195573,62.0
1,1977_Aug_w2,6705755,81.0
2,1977_Aug_w3,5908751,100.0
3,1977_Aug_w4,5239535,62.0
4,1977_Aug_w5,7737847,62.0
5,1977_Dec_w1,1152953,81.0
6,1977_Dec_w2,10102221,90.0
7,1977_Dec_w3,5564559,82.0
8,1977_Dec_w3,73938997,82.0
9,1977_Dec_w4,73938997,84.0
10,1977_Feb_w4,73938997,85.0
11,1977_Jul_w1,6197462,63.0
12,1977_Jul_w2,6806951,62.0
13,1977_Jul_w3,7000644,13.0
14,1977_Jul_w4,6234376,65.0
15,1977_Jun_w1,73938997,62.0
16,1977_Jun_w2,73938997,80.0
17,1977_Jun_w3,16358821,56.0
18,1977_Jun_w4,4885463,77.0
19,1977_Jun_w5,7452980,20.5
20,1977_Jun_w5,73938997,20.5
21,1977_Mar_w1,73938997,62.0
22,1977_Mar_w2,73938997,72.5
23,1977_Mar_w3,73938997,62.0
24,1977_May_w3,73938997,100.0
25,1977_May_w4,1554475,92.0
26,1977_Nov_w1,2269052,44.0
27,1977_Nov_w2,1949157,62.0
28,1977_Nov_w3,2472656,91.5
29,1977_Nov_w4,1595568,62.0
30,1977_Oct_w1,2040920,72.0
31,1977_Oct_w1,73938997,72.0
32,1977_Oct_w2,73938997,62.0
33,1977_Oct_w3,4431635,44.0
34,1977_Oct_w4,3292879,62.0
35,1977_Oct_w5,2626914,62.0
36,1977_Sep_w2,73938997,62.0
37,1977_Sep_w3,73938997,29.0
38,1978_Apr_w1,790452,71.0
39,1978_Apr_w2,602039,62.0
40,1978_Apr_w3,73938997,62.0
41,1978_Dec_w1,73938997,62.0
42,1978_Dec_w2,7465343,93.0
43,1978_Dec_w3,1652926,64.66666666666667
44,1978_Dec_w3,16808078,64.66666666666667
45,1978_Dec_w4,10363384,76.0
46,1978_Dec_w4,73938997,76.0
47,1978_Feb_w1,817290,62.0
48,1978_Feb_w3,73938997,62.0
49,1978_Jan_w1,2671060,54.8235294117647
50,1978_Jul_w1,73938997,62.0
51,1978_Jul_w3,10166336,78.0
52,1978_Jul_w4,276538,62.0
53,1978_Jun_w2,3880880,55.5
54,1978_Jun_w3,18807740,58.0
55,1978_Jun_w4,73938997,65.5
56,1978_Jun_w5,3652486,62.0
57,1978_Jun_w5,73938997,62.0
58,1978_Mar_w2,622291,52.5
59,1978_Mar_w5,543897,62.0
60,1978_Nov_w2,626649,40.0
61,1978_Oct_w1,73938997,74.0
62,1978_Oct_w5,73938997,62.0
63,1978_Sep_w2,73938997,92.0
64,1979_Apr_w1,1972684,62.0
65,1979_Apr_w3,73938997,62.0
66,1979_Apr_w4,485734,71.0
67,1979_Aug_w1,1533612,78.71428571428571
68,1979_Aug_w2,1301922,62.0
69,1979_Aug_w3,1304996,85.0
70,1979_Aug_w4,7717449,62.0
71,1979_Aug_w5,1049075,87.0
72,1979_Dec_w1,11926421,41.0
73,1979_Dec_w2,15852407,57.5
74,1979_Dec_w3,13456623,70.0
75,1979_Dec_w3,73938997,70.0
76,1979_Dec_w4,1781164,62.0
77,1979_Dec_w4,73938997,62.0
78,1979_Feb_w1,391942,73.0
79,1979_Feb_w2,3529675,67.0
80,1979_Feb_w3,73938997,62.0
81,1979_Feb_w4,73938997,62.0
82,1979_Jan_w3,73938997,75.66666666666667
83,1979_Jul_w1,3391197,45.333333333333336
84,1979_Jul_w2,2955036,72.5
85,1979_Jul_w3,5675034,59.0
86,1979_Jul_w4,9660094,62.0
87,1979_Jun_w1,2192024,91.0
88,1979_Jun_w2,2669177,62.0
89,1979_Jun_w3,10153660,47.5
90,1979_Jun_w4,11641673,74.66666666666667
91,1979_Jun_w5,11745651,71.5
92,1979_Mar_w1,262778,81.0
93,1979_Mar_w2,70461,71.0
94,1979_Mar_w3,21040,60.5
95,1979_Mar_w5,18709,91.5
96,1979_May_w1,376896,56.5
97,1979_May_w3,73938997,0.0
98,1979_May_w4,5953196,90.5
99,1979_May_w4,73938997,90.5
100,1979_Nov_w1,2520005,100.0
101,1979_Nov_w2,73938997,62.0
102,1979_Oct_w1,3812974,82.66666666666667
103,1979_Oct_w1,73938997,82.66666666666667
104,1979_Oct_w3,2250000,65.0
105,1979_Oct_w4,83527,91.0
106,1979_Oct_w5,12922,62.0
107,1979_Sep_w1,649505,62.0
108,1979_Sep_w2,485711,62.0
109,1979_Sep_w3,742634,57.0
110,1979_Sep_w4,393452,41.0
111,1980_Apr_w1,73938997,62.0
112,1980_Apr_w3,805511,62.0
113,1980_Apr_w4,1750593,17.0
114,1980_Aug_w1,5758789,41.666666666666664
115,1980_Aug_w2,8477856,43.5
116,1980_Aug_w3,15268817,31.0
117,1980_Aug_w4,73938997,62.0
118,1980_Aug_w5,1856849,62.0
119,1980_Dec_w1,4103412,83.0
120,1980_Dec_w2,15074258,56.0
121,1980_Dec_w3,13483950,60.166666666666664
122,1980_Dec_w4,3810214,49.666666666666664
123,1980_Feb_w1,3559930,62.5
124,1980_Feb_w2,4502244,62.0
125,1980_Feb_w3,1382756,62.0
126,1980_Feb_w3,73938997,62.0
127,1980_Jan_w3,386099,62.0
128,1980_Jan_w3,73938997,62.0
129,1980_Jan_w4,1668965,62.0
130,1980_Jul_w1,8309772,76.0
131,1980_Jul_w2,7154819,75.5
132,1980_Jul_w3,14173929,59.5
133,1980_Jul_w4,10272689,73.0
