,top10_gross,top_release,budget
2703,7000644.0,Star Wars: Episode IV - A New Hope,11000000.0
2683,10102221.0,Close Encounters of the Third Kind,20000000.0
2709,16358821.0,The Deep,9000000.0
383,18807740.0,Jaws 2,20000000.0
393,2671060.0,Saturday Night Fever,3500000.0
384,3880880.0,Damien: Omen II,6800000.0
372,626649.0,The Lord of the Rings,93000000.0
367,10363384.0,Superman,55000000.0
368,16808078.0,Every Which Way But Loose,5000000.0
369,1652926.0,Invasion of the Body Snatchers,3500000.0
407,393452.0,Alien,11000000.0
406,3812974.0,10,7000000.0
399,11926421.0,Star Trek: The Motion Picture,35000000.0
429,485734.0,Manhattan,9000000.0
432,18709.0,La Cage aux Folles,1100000.0
435,262778.0,Norma Rae,4500000.0
439,3529675.0,The Warriors,4000000.0
440,391942.0,The Great Train Robbery,150.0
422,10153660.0,Rocky II,7000000.0
420,11745651.0,Moonraker,34000000.0
417,5675034.0,Dracula,355000.0
395,1781164.0,Going in Style,25000000.0
1001,14173929.0,Star Wars: Episode V - The Empire Strikes Back,18000000.0
997,15268817.0,Smokey and the Bandit II,17000000.0
995,1856849.0,Battle Creek Brawl,6000000.0
993,170335.0,Ordinary People,6000000.0
989,4739769.0,Private Benjamin,15000000.0
988,2934957.0,Motel Hell,3000000.0
987,2728520.0,The Awakening,4798235.0
985,112663.0,Raging Bull,18000000.0
983,4103412.0,Flash Gordon,35000000.0
982,15074258.0,Stir Crazy,10000000.0
981,13483950.0,Any Which Way You Can,15000000.0
1026,3559930.0,American Gigolo,5000000.0
1021,3366443.0,Coal Miner's Daughter,15000000.0
1018,1745228.0,When Time Ran Out...,20000000.0
1006,15065520.0,Bronco Billy,6500000.0
1012,9381387.0,Friday the 13th,550000.0
1011,2469272.0,The Long Riders,10000000.0
841,7388421.0,Friday the 13th Part 2,1250000.0
834,33885048.0,Superman II,54000000.0
835,13098554.0,Raiders of the Lost Ark,18000000.0
838,16993634.0,Bustin' Loose,11000000.0
842,682415.0,The Hand,6500000.0
847,5571675.0,The Final Conflict,5000000.0
845,7474212.0,Excalibur,11000000.0
846,546724.0,Eyes of a Stranger,800000.0
851,439564.0,Sphinx,14000000.0
829,3037911.0,Wolfen,17000000.0
806,86874.0,On Golden Pond,15000000.0
807,17909299.0,Neighbors,18000000.0
809,2414242.0,Reds,35000000.0
813,7446508.0,Halloween II,2500000.0
812,6507356.0,Time Bandits,5000000.0
828,2297493.0,Under the Rainbow,20000000.0
824,564593.0,Body Heat,9000000.0
825,4790648.0,An American Werewolf in London,10000000.0
819,68907.0,Chariots of Fire,5500000.0
663,20094565.0,Porky's,4000000.0
658,12431486.0,Rocky III,17000000.0
660,24325331.0,Conan the Barbarian,90000000.0
657,46878862.0,Star Trek II: The Wrath of Khan,12000000.0
656,48105800.0,E.T. the Extra-Terrestrial,10500000.0
675,416243.0,One from the Heart,26000000.0
680,19190484.0,Absence of Malice,12000000.0
682,21136048.0,Sharky's Machine,17500000.0
625,22180755.0,The Toy,28000000.0
649,42819113.0,The Best Little Whorehouse in Texas,35000000.0
